GENESIS-Tabelle: 46241-0003;;;;;;;;;;;;;;;;;;;;;;;;
;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse;Straßenklasse
;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Autobahnen;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage;Ortslage
;innerorts;innerorts;innerorts;innerorts;außerorts;außerorts;außerorts;außerorts;Insgesamt;Insgesamt;Insgesamt;Insgesamt;innerorts;innerorts;innerorts;innerorts;außerorts;außerorts;außerorts;außerorts;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;Unfälle mit Personenschaden;Getötete;Schwerverletzte;Leichtverletzte;Unfälle mit Personenschaden;Getötete;Schwerverletzte;Leichtverletzte;Unfälle mit Personenschaden;Getötete;Schwerverletzte;Leichtverletzte;Unfälle mit Personenschaden;Getötete;Schwerverletzte;Leichtverletzte;Unfälle mit Personenschaden;Getötete;Schwerverletzte;Leichtverletzte;Unfälle mit Personenschaden;Getötete;Schwerverletzte;Leichtverletzte
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2017;-;-;-;-;20928;409;5974;27718;20928;409;5974;27718;207562;976;34966;215816;95094;2204;31547;107983;302656;3180;66513;323799
2018;-;-;-;-;20537;424;5910;27003;20537;424;5910;27003;213124;984;35838;220312;95597;2291;32129;107739;308721;3275;67967;328051
2019;-;-;-;-;19980;356;5833;26083;19980;356;5833;26083;207625;932;34103;214309;92518;2114;31141;104677;300143;3046;65244;318986
2020;-;-;-;-;15237;317;4434;18865;15237;317;4434;18865;183412;810;30719;183266;81087;1909;27286;86279;264499;2719;58005;269545
2021;-;-;-;-;16407;318;4682;20735;16407;318;4682;20735;176948;746;28677;178413;82039;1816;26460;89579;258987;2562;55137;267992
