DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2012,50,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2013,31,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2014,36,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2015,41,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2016,34,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2017,45,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2018,28,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2019,29,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2020,26,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,AT,2021,33,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2012,113,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2013,128,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2014,108,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2015,110,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2016,102,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2017,98,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2018,102,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2019,116,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2020,86,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BE,2021,81,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2012,20,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2013,20,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2014,39,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2015,60,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2016,42,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2017,62,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2018,58,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2019,45,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2020,35,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,BG,2021,75,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2012,63,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2013,23,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2014,12,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2015,21,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2016,19,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2017,25,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2018,19,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2019,24,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2020,18,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CH,2021,15,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CY,2012,3,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CY,2013,2,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CY,2014,3,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,CY,2015,6,
