DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2013,38502,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2014,37957,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2015,37960,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2016,38466,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2017,37402,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2018,36846,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2019,35736,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2020,30670,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,AT,2021,32774,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2013,41347,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2014,41474,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2015,40300,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2016,40123,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2017,38025,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2018,38455,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2019,37699,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2020,30232,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BE,2021,34640,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BG,2013,7016,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BG,2014,7019,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,BG,2015,7226,
